id_cliente,regiao,plano,valor_mensalidade,entrou_em_contato_manutencao,id_manutencao,data_ligacao,motivo_contato,churn,data_cancelamento,dias_ate_cancelamento
CLI-1000,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,1,2026-02-07,
CLI-1001,Savassi - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1002,Zona Sul - RJ,Fibra 600 Mega,159.9,1,MNT-2026-005,2026-02-18 01:27:59,Perda de Pacotes / Oscilação,0,,
CLI-1003,Centro - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1004,Zona Sul - SP,Fibra 600 Mega,159.9,1,MNT-2026-001,2026-01-10 09:42:20,Sem Conexão / Queda Geral,1,2026-01-30,20.0
CLI-1005,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 11:37:11,Perda de Pacotes / Oscilação,0,,
CLI-1006,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1007,Centro - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1008,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-16 05:20:05,Sem Conexão / Queda Geral,0,,
CLI-1009,Zona Sul - RJ,Fibra 400 Mega,129.9,1,MNT-2026-005,2026-02-18 01:42:27,Sem Conexão / Queda Geral,0,,
CLI-1010,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 09:41:18,Lentidão Extrema,1,2026-02-07,28.0
CLI-1011,Savassi - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1012,Barra - RJ,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1013,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1014,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1015,Zona Sul - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1016,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1017,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
